"ModelN","VarGroup","Model","NumPredictors","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","value_ICC2","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE","globalrank_RMSE.Std","globalrank_RMSE.CVmean","globalrank_RMSE.CVsd","globalrank_Singular","globalrank_Sig","globalrank_ICC","globalrank_ICC2","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE","familyrank_RMSE.Std","familyrank_RMSE.CVmean","familyrank_RMSE.CVsd","familyrank_Singular","familyrank_Sig","familyrank_ICC","familyrank_ICC2","globalranks_mean","familyranks_mean"
10,10,"Height.m, WoodDensity.g.cm3",2,"Site","MixedInt",38.5,2,"10.MixedInt_Site",0.93547,1452.73466,1474.81015,0.76081,0.99055,0.77187,0.07322,0,0.7663,0.44341,1.00473,0.44341,92,96,95,91,75,88,60,26,91,7,73,4,2,2,4,4,2,2,2,4,2,3,93,3.2
2,2,"Height.m",1,"Site","MixedInt",40,4,"2.MixedInt_Site",0.93311,1470.76169,1488.42208,0.77377,1.00742,0.78362,0.05599,0,0.77934,0.42665,-Inf,0.42665,94,100,98,92,77,89,23,26,92,8,70,4,4,4,4,4,4,3,3.5,4,4,3,95.2,4
11,11,"CanopyDiameter.m, WoodDensity.g.cm3",2,"Site","MixedInt",41,1,"11.MixedInt_Site",0.9184,1424.97366,1446.47759,0.86445,1.44323,0.87786,0.08511,0,0.86972,0.19895,1.00503,0.19895,98.5,91,91,98.5,104.5,94,75,26,97.5,19,50,3.5,2,2,3.5,3.5,2,3,1.5,3.5,1,4,95.3,2.9
3,3,"CanopyDiameter.m",1,"Species&Site","MixedInt",42,2,"3.MixedInt_Species&Site",0.91844,1429.66712,1451.17105,0.86404,1.44255,0.87119,0.09716,0,0.87061,0.21737,-Inf,0.21737,97,93,92,97,103,92,96,26,99,16,53,3,3,3,3,3,3,5,2.5,3,2,4,95.6,3
3,3,"CanopyDiameter.m",1,"Site","MixedInt",43,3,"3.MixedInt_Site",0.91595,1435.69053,1452.89368,0.8743,1.45968,0.88667,0.07576,0,0.87966,0.20728,-Inf,0.20728,104,94,94,100,106,95,63,26,100,17,52,6,4,4,4,4,4,1,2.5,4,3,3,98.4,4.4
11,11,"CanopyDiameter.m, WoodDensity.g.cm3",2,NA,"Fixed",44,2,"11.Fixed",0.9152,1476.5972,1493.80035,0.9309,1.55418,0.93667,0.09491,NA,0.93347,NA,1.00018,NA,106,104,100,107,111,103,92,NA,107,NA,NA,7,6,4,7,7,6,5,NA,7,NA,NA,104.8,6.2
3,3,"CanopyDiameter.m",1,NA,"Fixed",45,4,"3.Fixed",0.91285,1489.50949,1502.41185,0.94372,1.57559,0.93912,0.11998,NA,0.94546,NA,-Inf,NA,110,106,103,110,112,105,106,NA,110,NA,NA,7,7,7,7,7,7,7,NA,7,NA,NA,107.8,7
10,10,"Height.m, WoodDensity.g.cm3",2,NA,"Fixed",46,3,"10.Fixed",0.90812,1684.73084,1702.39123,0.95426,1.24242,0.95239,0.11205,NA,0.95661,NA,1.00775,NA,111,111,110,111,97,110,103,NA,111,NA,NA,7,7,6,7,7,6,5,NA,7,NA,NA,110.8,6.8
2,2,"Height.m",1,NA,"Fixed",47,5,"2.Fixed",0.90556,1699.49038,1712.73567,0.96744,1.25958,0.97013,0.05223,NA,0.96903,NA,-Inf,NA,112,112,111,112,98,111,15,NA,112,NA,NA,7,7,7,7,7,7,1,NA,7,NA,NA,111.8,7
1,1,"DBH.cm",1,"Site","MixedInt",48,7,"1.MixedInt_Site",0.93464,857.88467,874.76703,0.5526,0.24873,0.55573,0.09441,0,0.55622,0.05684,-Inf,0.05684,93,62,62,66,62,62,91,26,66,43,15,6,6,6,6,6,6,7,3.5,6,6,1,NA,NA
2,2,"Height.m",1,"Species","MixedInt",49,6,"2.MixedInt_Species",0.91363,1670.2575,1687.91789,0.9346,1.21683,0.93957,0.07836,0,0.93675,0.06508,-Inf,0.06508,108,107,107,108,95,106,64,26,108.5,41,18,6,5,5,6,6,6,5,3.5,6,6,1,NA,NA
2,2,"Height.m",1,"Species","MixedIntSlope",50,7,"2.MixedIntSlope_Species",0.91459,1670.48581,1696.97639,0.92717,1.20716,0.93314,0.09291,0,0.93092,0.08146,-Inf,0.08681,107,108,109,106,94,101,86,26,106,34,29,5,6,6,5,5,5,7,3.5,5,5,2,NA,NA
3,3,"CanopyDiameter.m",1,"Species&Site","MixedIntSlope",51,5,"3.MixedIntSlope_Species&Site",0.93757,1380.43638,1419.14345,0.80778,1.34863,0.82211,0.11886,1,0.81699,NA,-Inf,0.39765,88,88,90,94,100,90,105,74,94,49,67,1,1,2,1,1,1,6,5.5,1,5,6,NA,NA
3,3,"CanopyDiameter.m",1,"Species","MixedInt",52,6,"3.MixedInt_Species",0.91639,1475.94614,1493.14928,0.92266,1.54042,0.92132,0.09257,0,0.92491,0.03927,-Inf,0.03927,101,102,99,103,109,98,85,26,104,44,13,5,5,5,6,6,5,3,2.5,6,4,2,NA,NA
3,3,"CanopyDiameter.m",1,"Species","MixedIntSlope",53,7,"3.MixedIntSlope_Species",0.91656,1476.33764,1502.14236,0.9192,1.53464,0.92572,0.09605,1,0.92148,NA,-Inf,0.03056,100,103,102,101,107,99,94,74,101,50,11,4,6,6,5,5,6,4,5.5,5,6,1,NA,NA
4,4,"Comp.DBH.H.Den",1,"Species&Site","MixedIntSlope",54,5,"4.MixedIntSlope_Species&Site",0.97796,321.98005,358.01503,0.32235,0.13066,0.34268,0.02408,1,0.32891,NA,-Inf,0.55909,13,20,18,10,10,7,1,74,10,51,80,1,1,1,1,1,1,1,5.5,1,5,6,NA,NA
4,4,"Comp.DBH.H.Den",1,"Species","MixedInt",55,6,"4.MixedInt_Species",0.96079,477.34813,493.36368,0.42657,0.1729,0.42676,0.06115,0,0.42802,0.07387,-Inf,0.07387,61,45,43,47,46,37,33,26,46,37,24,6,5,5,6,6,5,5,2.5,6,4,2,NA,NA
4,4,"Comp.DBH.H.Den",1,"Species","MixedIntSlope",56,7,"4.MixedIntSlope_Species",0.96091,479.018,503.04133,0.42528,0.17238,0.42983,0.08084,1,0.42673,NA,-Inf,0.05892,60,46,44,46,45,39,69,74,45,52,16,5,6,6,5,5,6,6,5.5,5,6,1,NA,NA
5,5,"Comp.Can.H.Den",1,"Species&Site","MixedIntSlope",57,4,"5.MixedIntSlope_Species&Site",0.9699,1039.06613,1077.7732,0.5892,0.98369,0.60239,0.0623,0,0.59603,NA,-Inf,0.44097,29,71,73,68,72,64,36,26,68,53,72,1,1,2,1,1,1,5,3,1,5,6,NA,NA
5,5,"Comp.Can.H.Den",1,"Species","MixedInt",58,5,"5.MixedInt_Species",0.95351,1153.36953,1170.57267,0.68824,1.14904,0.68916,0.08143,0,0.68961,0.0139,-Inf,0.0139,73,82,83,85,91,80,70,26,84,47,9,4,5,6,6,6,5,7,3,6,4,2,NA,NA
5,5,"Comp.Can.H.Den",1,"Species","MixedIntSlope",59,6,"5.MixedIntSlope_Species",0.95355,1156.0061,1181.81082,0.68696,1.14691,0.69192,0.05722,1,0.68841,NA,-Inf,0.01071,72,84,84,84,90,82,25,74,83,54,6,3,7,7,5,5,6,3,6,5,6,1,NA,NA
5,5,"Comp.Can.H.Den",1,"Site","MixedInt",60,7,"5.MixedInt_Site",0.95197,1148.07446,1165.2776,0.67657,1.12956,0.68423,0.05759,0,0.68026,0.07456,-Inf,0.07456,79,81,81,82,89,78,27,26,81,36,25,7,4,4,4,4,4,4,3,4,3,3,NA,NA
6,6,"DBH.cm, Height.m",2,"Species&Site","MixedIntSlope",61,4,"6.MixedIntSlope_Species&Site",0.97658,343.00856,407.07076,0.32795,0.13293,0.39872,0.05338,1,0.33436,NA,1.29277,0.64959,15,24,30,11,14,20,18,74,14,55,90,1,1,1,1,1,1,3,5,1,4,6,NA,NA
6,6,"DBH.cm, Height.m",2,"Species","MixedIntSlope",62,5,"6.MixedIntSlope_Species",0.96278,474.19876,514.23764,0.41466,0.16807,0.46022,0.04044,1,0.41724,NA,1.9426,0.17399,46,44,46,38,38,47,4,74,39,56,43,4,5,5,4,4,7,1,5,4,5,3,NA,NA
6,6,"DBH.cm, Height.m",2,"Site","MixedInt",63,6,"6.MixedInt_Site",0.95869,501.03314,521.05258,0.43325,0.17561,0.44138,0.04902,0,0.43662,0.08191,5.822,0.08191,68,47,47,49,47,43,11,26,49,33,28,6,6,6,6,6,5,2,2,6,3,1,NA,NA
6,6,"DBH.cm, Height.m",2,"Site","MixedIntSlope",64,7,"6.MixedIntSlope_Site",0.97213,389.74401,429.78288,0.35779,0.14503,0.43183,0.05513,1,0.36368,NA,1.08086,0.43622,27,33,34,23,24,40,21,74,24,57,71,2,2,2,2,2,4,4,5,2,6,5,NA,NA
7,7,"DBH.cm, CanopyDiameter.m",2,"Species&Site","MixedIntSlope",65,4,"7.MixedIntSlope_Species&Site",0.9748,297.19312,358.40912,0.33718,0.13348,0.3733,0.0709,1,0.3423,NA,1.11699,0.60923,19,18,19,16,16,16,56,74,17,58,86,2,2,2,2,2,2,5,5,2,4,6,NA,NA
7,7,"DBH.cm, CanopyDiameter.m",2,"Species","MixedInt",66,5,"7.MixedInt_Species",0.96309,377.17587,396.30587,0.40962,0.16216,0.41252,0.04351,0,0.41129,0.09061,4.7005,0.09061,44,32,27,36,35,27,5,26,35,32,31,6,6,5,6,6,5,1,2,6,3,1,NA,NA
7,7,"DBH.cm, CanopyDiameter.m",2,"Species","MixedIntSlope",67,6,"7.MixedIntSlope_Species",0.96647,364.771,403.031,0.39071,0.15468,0.41612,0.06343,1,0.39388,NA,1.32419,0.16519,37,28,29,29,29,29,41,74,29,59,40,5,4,6,4,4,6,4,5,4,5,2,NA,NA
7,7,"DBH.cm, CanopyDiameter.m",2,"Site","MixedIntSlope",68,7,"7.MixedIntSlope_Site",0.9787,236.45376,274.71376,0.31382,0.12423,0.33152,0.04844,1,0.31837,NA,1.0611,0.48821,9,7,7,8,7,3,9,74,8,60,77,1,1,1,1,1,1,2,5,1,6,5,NA,NA
8,8,"DBH.cm, WoodDensity.g.cm3",2,"Species&Site","MixedInt",69,2,"8.MixedInt_Species&Site",0.94544,776.26303,801.58657,0.5068,0.22811,0.51164,0.08648,1,0.51026,NA,1.00291,0.0668,81.5,57,57,58.5,57.5,55,77,74,58,61,19.5,4.5,5,5,4.5,4.5,3,4,5,4.5,2,2.5,NA,NA
8,8,"DBH.cm, WoodDensity.g.cm3",2,"Species&Site","MixedIntSlope",70,3,"8.MixedIntSlope_Species&Site",0.95646,720.93471,788.46415,0.45746,0.20591,0.51494,0.0898,0,0.46441,NA,1.00003,0.22244,70,52,55,52,52,58,82,26,52,62,56,2,2,3,2,2,5,5,2,2,3,5,NA,NA
8,8,"DBH.cm, WoodDensity.g.cm3",2,"Species","MixedInt",71,4,"8.MixedInt_Species",0.94174,794.97811,816.08106,0.52801,0.23766,0.52438,0.10363,1,0.52801,NA,1.00035,0,83,60,60,64.5,60.5,59,98,74,63,63,3,6,7,7,6.5,6.5,6,7,5,6,4,1,NA,NA
8,8,"DBH.cm, WoodDensity.g.cm3",2,"Species","MixedIntSlope",72,5,"8.MixedIntSlope_Species",0.95281,733.37622,775.58212,0.48558,0.21856,0.4895,0.06278,1,0.48697,NA,1.00003,0.13534,76.5,53,54,55,55,51,38,74,54,64,36,3,3,2,3,3,2,1,5,3,5,4,NA,NA
8,8,"DBH.cm, WoodDensity.g.cm3",2,"Site","MixedInt",73,6,"8.MixedInt_Site",0.94544,774.26303,795.36598,0.5068,0.22811,0.51308,0.06788,0,0.51026,0.0668,1.00291,0.0668,81.5,56,56,58.5,57.5,56,47,26,58,40,19.5,4.5,4,4,4.5,4.5,4,2,2,4.5,1,2.5,NA,NA
8,8,"DBH.cm, WoodDensity.g.cm3",2,"Site","MixedIntSlope",74,7,"8.MixedIntSlope_Site",0.96673,608.62985,650.83575,0.40387,0.18178,0.43698,0.07462,0,0.41183,NA,1.00098,0.36917,36,50,50,35,49,41,61,26,37,65,64,1,1,1,1,1,1,3,2,1,6,6,NA,NA
9,9,"Height.m, CanopyDiameter.m",2,"Species&Site","MixedIntSlope",75,4,"9.MixedIntSlope_Species&Site",0.97777,916.77807,985.59064,0.51149,0.85396,0.69104,0.1571,1,0.51862,NA,1.04234,0.62353,14,67,66,62,67,81,110,74,62,66,87,2,2,2,2,2,7,7,4.5,2,3,6,NA,NA
9,9,"Height.m, CanopyDiameter.m",2,"Species","MixedInt",76,5,"9.MixedInt_Species",0.95987,1071.84614,1093.35006,0.64097,1.07013,0.6358,0.11053,1,0.64097,NA,4.99639,0,63,78,76,78.5,86.5,72,102,74,77,67,3,6,7,6,6.5,6.5,4,6,4.5,6,4,1,NA,NA
