"size","ModelN","VarGroup","Effects","MixedEffects","Model","NumPredictors","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","maxVIF"
"all",16,16,"MixedIntSlope","Species","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",4,"16.MixedIntSlope_Species",-0.83634,1.17242,0.78828,0.70678,1.90708,3.98753,1.74401,2.96776,1.08629,3.98753
"all",16,16,"MixedInt","Site","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",4,"16.MixedInt_Site",-0.98613,1.17539,0.87398,0.68041,1.89162,9.27681,5.30645,3.7976,1.09251,9.27681
"all",16,16,"MixedIntSlope","Site","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",4,"16.MixedIntSlope_Site",-0.86619,1.46722,0.54627,0.53223,1.8326,1.23784,1.09341,1.19484,1.06078,1.23784
"5cm",12,12,"MixedInt","Species&Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedInt_Species&Site",-1.61483,1.58825,0.49111,0.49523,NA,4.22674,2.24153,2.77134,NA,4.22674
"5cm",16,16,"MixedInt","Site","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",4,"16.MixedInt_Site",-0.96456,1.59213,0.49652,0.48683,1.93119,4.2076,2.18009,2.90005,1.10914,4.2076
"5cm",12,12,"MixedInt","Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedInt_Site",-1.57088,1.49516,0.515,0.59873,NA,4.0083,2.14649,2.62591,NA,4.0083
"5cm",7,7,"MixedInt","Species&Site","logDBH.cm, logCanopyDiameter.m",2,"7.MixedInt_Species&Site",-1.06138,1.80439,0.47542,NA,NA,2.74967,2.74967,NA,NA,2.74967
"5cm",14,14,"MixedInt","Site","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"14.MixedInt_Site",-0.40233,1.81168,0.4651,1.94905,NA,2.76246,2.86642,1.10933,NA,2.86642
"5cm",12,12,"MixedInt","Species","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedInt_Species",-1.48027,1.48581,0.54903,0.51243,NA,4.17384,1.83282,2.93106,NA,4.17384
"5cm",4,4,"MixedIntSlope","Site","logComp.DBH.H.Den",1,"4.MixedIntSlope_Site",-2.21609,0.91057,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",7,7,"MixedInt","Site","logDBH.cm, logCanopyDiameter.m",2,"7.MixedInt_Site",-0.99774,1.72174,0.57798,NA,NA,2.58585,2.58585,NA,NA,2.58585
"5cm",6,6,"MixedInt","Species&Site","logDBH.cm, logHeight.m",2,"6.MixedInt_Species&Site",-1.94125,1.98796,0.46433,NA,NA,2.0313,2.0313,NA,NA,2.0313
"5cm",13,13,"MixedInt","Site","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedInt_Site",-0.91882,1.97755,0.48699,3.06559,NA,1.96414,1.95967,1.00403,NA,1.96414
"5cm",16,16,"Fixed",NA,"logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",4,"16.Fixed",-0.99366,1.40106,0.67557,0.50193,1.60498,4.15314,1.55718,3.41904,1.12073,4.15314
"5cm",12,12,"Fixed",NA,"logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.Fixed",-1.52055,1.33717,0.68197,0.59758,NA,3.99321,1.55649,3.08071,NA,3.99321
"5cm",4,4,"MixedInt","Species&Site","logComp.DBH.H.Den",1,"4.MixedInt_Species&Site",-2.12165,0.8953,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",7,7,"MixedInt","Species","logDBH.cm, logCanopyDiameter.m",2,"7.MixedInt_Species",-0.92514,1.80645,0.41094,NA,NA,2.80758,2.80758,NA,NA,2.80758
