"size","VarGroup","Model","ModelN","NumPredictors","NumObservations","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMdSE_lin","value_RelRMdSE_lin","value_RMSE_lin","value_RelRMSE_lin","value_RMSE_log","value_RMSE_log.CVmean","value_RMSE_log.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE_log","globalrank_RMSE_log.CVmean","globalrank_RMSE_log.CVsd","globalrank_Sig","globalrank_ICC","globalrank_RMSE_lin","globalrank_RMdSE_lin","globalrank_RelRMSE_lin","globalrank_RelRMdSE_lin","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE_log","familyrank_RMSE_log.CVmean","familyrank_RMSE_log.CVsd","familyrank_Sig","familyrank_ICC","familyrank_RMSE_lin","familyrank_RMdSE_lin","familyrank_RelRMSE_lin","familyrank_RelRMdSE_lin","globalranks_mean","familyranks_mean"
"all",2,"logHeight.m",2,1,339,"Site","MixedInt",39,4,"2.MixedInt_Site",0.89766,739.56683,754.87083,8.44213992387721,52.3056996522751,84.630746577749,140.490137202505,0.68011,0.68624,0.07676,0,0.68611,0.53382,-Inf,92,91,91,92,77,44,92,6,103,106,103,106,4,4,4,4,4,2,4,4,4,4,4,4,95.8333333333333,4
"all",3,"logCanopyDiameter.m",3,1,339,"Species&Site","MixedInt",39,1.5,"3.MixedInt_Species&Site",0.84158,875.59879,894.7288,7.1759314489178,44.4605418148562,76.9157292997409,127.682926115086,0.84246,0.84807,0.18071,0,0.85015,0.11584,-Inf,97,99,96,99,83,104,99,23,95,89,95,89,3,4,3,3,2,7,3,1,4,1,4,1,95.8333333333333,3
"all",3,"logCanopyDiameter.m",3,1,339,"Site","MixedInt",39,1.5,"3.MixedInt_Site",0.83923,874.37574,889.67974,7.2236876358169,44.756428970365,76.9311843532036,127.708582069562,0.84647,0.85482,0.11265,0,0.85302,0.10612,-Inf,100,96,93,100,86,85,100,28,96,90,96,90,4,2,1,4,4,3,4,2,5,2,5,2,95.8333333333333,3
"all",2,"logHeight.m",2,1,339,"Species","MixedInt",41,5,"2.MixedInt_Species",0.83549,879.77284,895.07685,9.77265591135804,60.5492931310907,86.1275635968948,142.974908244831,0.86065,0.8656,0.10579,0,0.86427,0.13,-Inf,103,100,97,103,90,77,103,21,106,110,106,110,6,5,5,6,6,6,6,5,5,6,5,6,103.166666666667,5.5
"all",3,"logCanopyDiameter.m",3,1,339,NA,"Fixed",42.5,3,"3.Fixed",0.82228,894.66451,906.14251,8.15945541227078,50.5542466683444,76.5101347727765,127.009624353658,0.89743,0.89755,0.11123,NA,0.90009,NA,-Inf,110,106,100,110,99,83,110,NA,93,103,93,103,7,5,4,7,6,2,7,NA,3,7,3,7,103.666666666667,5.5
"all",11,"logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,339,NA,"Fixed",42.5,2,"11.Fixed",0.82398,893.42297,908.72697,8.19088713857103,50.7489909452976,76.7157084074783,127.350884112225,0.89315,0.89527,0.12832,NA,0.89712,NA,1.00018,109,104,102,107.5,97,92,109,NA,94,104,94,104,7,4,3,6.5,7,4,7,NA,4,7,4,7,103.666666666667,5.33333333333333
"all",10,"logHeight.m, logWoodDensity.g.cm3",10,2,339,NA,"Fixed",44,2,"10.Fixed",0.81974,901.49353,916.79753,12.9321835779336,80.1250531470484,85.4596661006713,141.86617395291,0.90384,0.90133,0.13187,NA,0.90787,NA,1.00775,111,110,107,111,101,93,111,NA,104,111,104,111,7,7,6,7,5,4,7,NA,5,7,5,7,109,6.5
"all",2,"logHeight.m",2,1,339,NA,"Fixed",45,6,"2.Fixed",0.81115,915.26212,926.74012,13.8757124318314,85.9709568267126,86.6324455560374,143.813030778062,0.92511,0.92287,0.12143,NA,0.92785,NA,-Inf,112,112,109,112,102,90,112,NA,107,112,107,112,7,7,7,7,7,7,7,NA,6,7,6,7,110.666666666667,6.83333333333333
"5cm",16,"logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,204,"Site","MixedInt",1,1,"16.MixedInt_Site",0.96152,18.56644,41.79328,5.94089740071832,11.5037727753962,38.4316767229743,39.1036773875187,0.23236,0.23913,0.04286,0,0.2354,0.33031,4.2076,15.5,5,1,11.5,1,8,10.5,14,21,7,21,7,4.5,2,1,3.5,1,1,3.5,1,4,4,4,4,10,3.16666666666667
"5cm",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,204,"Species&Site","MixedInt",2,1,"12.MixedInt_Species&Site",0.9605,26.44317,49.67001,6.16521606158386,11.9381365978662,38.5859725425781,39.260671161054,0.23248,0.24311,0.06067,0,0.23662,0.42893,4.22674,17,7,3,13,2,41,12,8,22,12,22,12,4,2,1,3,1,4,3,1,3,3,3,3,12.1666666666667,2.66666666666667
