"VarGroup","MixedEffects","Model","ModelN","NumPredictors","(Intercept)_Fixed","(Intercept)_MixedInt","(Intercept)_MixedIntSlope","slope.var1_Fixed","slope.var1_MixedInt","slope.var1_MixedIntSlope","slope.var2_Fixed","slope.var2_MixedInt","slope.var2_MixedIntSlope","slope.var3_Fixed","slope.var3_MixedInt","slope.var3_MixedIntSlope","slope.var4_Fixed","slope.var4_MixedInt","slope.var4_MixedIntSlope","VIF.var1_Fixed","VIF.var1_MixedInt","VIF.var1_MixedIntSlope","VIF.var2_Fixed","VIF.var2_MixedInt","VIF.var2_MixedIntSlope","VIF.var3_Fixed","VIF.var3_MixedInt","VIF.var3_MixedIntSlope","VIF.var4_Fixed","VIF.var4_MixedInt","VIF.var4_MixedIntSlope","Rsq.var1_Fixed","Rsq.var1_MixedInt","Rsq.var1_MixedIntSlope","Rsq.var2_Fixed","Rsq.var2_MixedInt","Rsq.var2_MixedIntSlope","Rsq.var3_Fixed","Rsq.var3_MixedInt","Rsq.var3_MixedIntSlope","Rsq.var4_Fixed","Rsq.var4_MixedInt","Rsq.var4_MixedIntSlope","maxVIF_Fixed","maxVIF_MixedInt","maxVIF_MixedIntSlope"
13,"Species&Site","DBH.cm, Height.m, WoodDensity.g.cm3",13,3,-0.50769,-0.57014,-0.57289,1.74922,1.70806,1.83083,0.55988,0.61697,0.45588,3.10809,3.06351,2.90015,NA,NA,NA,5.05013,5.82915,1.1247,5.04648,5.82021,1.1243,1.00207,1.00401,1.00045,NA,NA,NA,0.780891206325086,0.783418340606254,0.853786249634103,0.151887153696479,0.160680462705361,0.189107337833595,0.12900228344919,0.156261615159696,0.128058371752573,NA,NA,NA,5.05013,5.82915,1.1247
13,"Species","DBH.cm, Height.m, WoodDensity.g.cm3",13,3,-0.50769,-0.50769,-0.4025,1.74922,1.74922,1.76901,0.55988,0.55988,0.51608,3.10809,3.10809,3.28791,NA,NA,NA,5.05013,5.05013,2.08617,5.04648,5.04648,2.08434,1.00207,1.00207,1.00134,NA,NA,NA,0.780891206325086,0.78131390446604,0.785958865411222,0.151887153696479,0.152205888930264,0.167979704384389,0.12900228344919,0.129280315200656,0.112509216028345,NA,NA,NA,5.05013,5.05013,2.08617
13,"Site","DBH.cm, Height.m, WoodDensity.g.cm3",13,3,-0.50769,-0.57014,-0.56112,1.74922,1.70806,1.82255,0.55988,0.61697,0.46167,3.10809,3.06351,2.90987,NA,NA,NA,5.05013,5.82915,1.14747,5.04648,5.82021,1.14694,1.00207,1.00401,1.00065,NA,NA,NA,0.780891206325086,0.781477557596752,0.844202322462017,0.151887153696479,0.159148774047865,0.18022367171601,0.12900228344919,0.15476428519324,0.123607439034029,NA,NA,NA,5.05013,5.82915,1.14747
14,"Species&Site","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",14,3,-0.22969,-0.33098,-0.53751,1.7538,1.7633,1.83925,0.50247,0.57494,0.46091,2.07506,2.02536,1.63592,NA,NA,NA,4.85936,3.33453,1.0403,4.94725,3.35937,1.06078,1.08582,1.04595,1.02138,NA,NA,NA,0.783465637268918,0.802491721378569,0.87311498999038,0.141390257351727,0.193227690824805,0.193288437935707,0.0684690568474686,0.0721741851872031,0.0732138262915816,NA,NA,NA,4.94725,3.35937,1.06078
14,"Species","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",14,3,-0.22969,-0.24737,-0.15035,1.7538,1.75485,1.75215,0.50247,0.51423,0.53677,2.07506,2.06626,2.32915,NA,NA,NA,4.85936,4.75572,1.33811,4.94725,4.77859,1.4125,1.08582,1.02282,1.07252,NA,NA,NA,0.783465637268918,0.785014441695406,0.79618486447114,0.141390257351727,0.148102145581833,0.168933862172136,0.0684690568474686,0.0684349707466074,0.0910493843050908,NA,NA,NA,4.94725,4.77859,1.4125
14,"Site","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",14,3,-0.22969,-0.32298,-0.39306,1.7538,1.76259,1.8351,0.50247,0.57601,0.45907,2.07506,2.04875,2.01903,NA,NA,NA,4.85936,3.32768,1.0397,4.94725,3.37549,1.08294,1.08582,1.09138,1.04731,NA,NA,NA,0.783465637268918,0.800825227417825,0.869551238945683,0.141390257351727,0.192297720474821,0.187844916656857,0.0684690568474686,0.0730693172820931,0.104818403813717,NA,NA,NA,4.94725,3.37549,1.08294
15,"Species&Site","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",15,3,-0.8747,-0.90812,-1.53944,1.40968,1.54599,1.71596,1.34165,1.12347,1.26767,0.3278,0.39431,0.4684,NA,NA,NA,5.32366,3.69657,1.01879,5.27264,3.69752,1.01935,1.0657,1.03518,1.01496,NA,NA,NA,0.560200962154501,0.586683294160781,0.699958054992682,0.526240321805706,0.486912026652857,0.617121644717016,0.000722601593990022,0.00111048347167067,0.00208837950632741,NA,NA,NA,5.32366,3.69752,1.01935
15,"Species","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",15,3,-0.8747,-0.8747,-0.86662,1.40968,1.40968,1.4773,1.34165,1.34165,1.26858,0.3278,0.3278,0.68512,NA,NA,NA,5.32366,5.32366,1.02423,5.27264,5.27264,1.02005,1.0657,1.0657,1.01785,NA,NA,NA,0.560200962154501,0.560653393022056,0.550251131696255,0.526240321805706,0.526698172001066,0.533175954345758,0.000722601593990022,0.000723928944142081,0.00315812592674892,NA,NA,NA,5.32366,5.32366,1.02423
15,"Site","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",15,3,-0.8747,-0.89906,-1.47846,1.40968,1.5439,1.71238,1.34165,1.12547,1.28211,0.3278,0.42978,0.58518,NA,NA,NA,5.32366,3.72773,1.02771,5.27264,3.72678,1.0336,1.0657,1.06903,1.02376,NA,NA,NA,0.560200962154501,0.582293300538933,0.684047081989741,0.526240321805706,0.483960983071049,0.605760463459709,0.000722601593990022,0.00129886896131343,0.00303481529514247,NA,NA,NA,5.32366,3.72773,1.0336
16,"Species&Site","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",16,4,-0.8991,-0.98613,-0.91587,1.15082,1.17539,1.39678,0.83505,0.87398,0.58734,0.70763,0.68041,0.59641,1.8618,1.89162,1.7997,11.55534,9.27681,1.85372,5.10315,5.30645,1.18341,5.38479,3.7976,1.65161,1.08854,1.09251,1.01414,0.487188158008564,0.507054428820916,0.662350844629769,0.310388049555138,0.338507234428713,0.302278372305151,0.303188003755133,0.294551850186044,0.23786299667138,0.0788402840180247,0.0839993487367924,0.100796569949273,11.55534,9.27681,1.85372
16,"Species","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",16,4,-0.8991,-0.8991,-0.83634,1.15082,1.15082,1.17242,0.83505,0.83505,0.78828,0.70763,0.70763,0.70678,1.8618,1.8618,1.90708,11.55534,11.55534,3.98753,5.10315,5.10315,1.74401,5.38479,5.38479,2.96776,1.08854,1.08854,1.08629,0.487188158008564,0.487926253468135,0.500707970087883,0.310388049555138,0.311020744606225,0.306263331343192,0.303188003755133,0.303812488080513,0.289737323474705,0.0788402840180247,0.0790550992770326,0.0836897370463951,11.55534,11.55534,3.98753
16,"Site","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",16,4,-0.8991,-0.98613,-0.86619,1.15082,1.17539,1.46722,0.83505,0.87398,0.54627,0.70763,0.68041,0.53223,1.8618,1.89162,1.8326,11.55534,9.27681,1.23784,5.10315,5.30645,1.09341,5.38479,3.7976,1.19484,1.08854,1.09251,1.06078,0.487188158008564,0.506259740689115,0.686263795660861,0.310388049555138,0.337795682716765,0.258523770583908,0.303188003755133,0.29389165126651,0.214352201366486,0.0788402840180247,0.0837550441470389,0.105115410498014,11.55534,9.27681,1.23784
