"ModelN","Model","MixedEffects","Effects","masterrank_global","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
10,"Height.m, WoodDensity.g.cm3","Site","MixedInt",38.5,0.93547,1452.73466,1474.81015,0.76081,0.99055,0.77187,0.07322,0,0.7663,0.44341,"10.MixedInt_Site",-1.42824,2.60541,2.60408,NA,NA,1.00473,1.00473,NA,NA,0.924440789641989,0.0300773516751746,NA,NA,1.00473
2,"Height.m","Site","MixedInt",40,0.93311,1470.76169,1488.42208,0.77377,1.00742,0.78362,0.05599,0,0.77934,0.42665,"2.MixedInt_Site",-2.28225,2.59326,NA,NA,NA,NA,NA,NA,NA,0.922116334592029,NA,NA,NA,-Inf
11,"CanopyDiameter.m, WoodDensity.g.cm3","Site","MixedInt",41,0.9184,1424.97366,1446.47759,0.86445,1.44323,0.87786,0.08511,0,0.86972,0.19895,"11.MixedInt_Site",-0.17886,2.32808,-2.5009,NA,NA,1.00503,1.00503,NA,NA,0.911740939876115,0.0224009072140483,NA,NA,1.00503
3,"CanopyDiameter.m","Species&Site","MixedInt",42,0.91844,1429.66712,1451.17105,0.86404,1.44255,0.87119,0.09716,0,0.87061,0.21737,"3.MixedInt_Species&Site",0.68313,2.32901,NA,NA,NA,NA,NA,NA,NA,0.912284523787192,NA,NA,NA,-Inf
3,"CanopyDiameter.m","Site","MixedInt",43,0.91595,1435.69053,1452.89368,0.8743,1.45968,0.88667,0.07576,0,0.87966,0.20728,"3.MixedInt_Site",0.67717,2.31581,NA,NA,NA,NA,NA,NA,NA,0.908932486489802,NA,NA,NA,-Inf
11,"CanopyDiameter.m, WoodDensity.g.cm3",NA,"Fixed",44,0.9152,1476.5972,1493.80035,0.9309,1.55418,0.93667,0.09491,NA,0.93347,NA,"11.Fixed",-0.33355,2.46944,-2.85756,NA,NA,1.00018,1.00018,NA,NA,0.91509239190873,0.0269910526255661,NA,NA,1.00018
3,"CanopyDiameter.m",NA,"Fixed",45,0.91285,1489.50949,1502.41185,0.94372,1.57559,0.93912,0.11998,NA,0.94546,NA,"3.Fixed",0.64369,2.46775,NA,NA,NA,NA,NA,NA,NA,0.912847497571053,NA,NA,NA,-Inf
10,"Height.m, WoodDensity.g.cm3",NA,"Fixed",46,0.90812,1684.73084,1702.39123,0.95426,1.24242,0.95239,0.11205,NA,0.95661,NA,"10.Fixed",-1.58115,2.75831,2.90652,NA,NA,1.00775,1.00775,NA,NA,0.908014493693371,0.0270569180692683,NA,NA,1.00775
2,"Height.m",NA,"Fixed",47,0.90556,1699.49038,1712.73567,0.96744,1.25958,0.97013,0.05223,NA,0.96903,NA,"2.Fixed",-2.55667,2.74547,NA,NA,NA,NA,NA,NA,NA,0.90555997789946,NA,NA,NA,-Inf
1,"DBH.cm","Site","MixedInt",48,0.93464,857.88467,874.76703,0.5526,0.24873,0.55573,0.09441,0,0.55622,0.05684,"1.MixedInt_Site",-0.941,1.9706,NA,NA,NA,NA,NA,NA,NA,0.932196123138896,NA,NA,NA,-Inf
2,"Height.m","Species","MixedInt",49,0.91363,1670.2575,1687.91789,0.9346,1.21683,0.93957,0.07836,0,0.93675,0.06508,"2.MixedInt_Species",-2.59707,2.78075,NA,NA,NA,NA,NA,NA,NA,0.911144931723486,NA,NA,NA,-Inf
2,"Height.m","Species","MixedIntSlope",50,0.91459,1670.48581,1696.97639,0.92717,1.20716,0.93314,0.09291,0,0.93092,0.08146,"2.MixedIntSlope_Species",-2.58842,2.77791,NA,NA,NA,NA,NA,NA,NA,0.911374265456915,NA,NA,NA,-Inf
3,"CanopyDiameter.m","Species&Site","MixedIntSlope",51,0.93757,1380.43638,1419.14345,0.80778,1.34863,0.82211,0.11886,1,0.81699,NA,"3.MixedIntSlope_Species&Site",0.34413,2.51145,NA,NA,NA,NA,NA,NA,NA,0.930632622223966,NA,NA,NA,-Inf
3,"CanopyDiameter.m","Species","MixedInt",52,0.91639,1475.94614,1493.14928,0.92266,1.54042,0.92132,0.09257,0,0.92491,0.03927,"3.MixedInt_Species",0.64614,2.46721,NA,NA,NA,NA,NA,NA,NA,0.914533936974565,NA,NA,NA,-Inf
3,"CanopyDiameter.m","Species","MixedIntSlope",53,0.91656,1476.33764,1502.14236,0.9192,1.53464,0.92572,0.09605,1,0.92148,NA,"3.MixedIntSlope_Species",0.64605,2.45996,NA,NA,NA,NA,NA,NA,NA,0.914585972785515,NA,NA,NA,-Inf
4,"Comp.DBH.H.Den","Species&Site","MixedIntSlope",54,0.97796,321.98005,358.01503,0.32235,0.13066,0.34268,0.02408,1,0.32891,NA,"4.MixedIntSlope_Species&Site",-1.60467,0.81201,NA,NA,NA,NA,NA,NA,NA,0.972918928213555,NA,NA,NA,-Inf
