"size","VarGroup","Model","ModelN","NumPredictors","NumObservations","MixedEffects","Rsq_Fixed","Rsq_MixedInt","Rsq_MixedIntSlope","AIC_Fixed","AIC_MixedInt","AIC_MixedIntSlope","BIC_Fixed","BIC_MixedInt","BIC_MixedIntSlope","RMdSE_lin_Fixed","RelRMdSE_lin_Fixed","RMSE_lin_Fixed","RelRMSE_lin_Fixed","RMSE_log_Fixed","RMSE_log.CVmean_Fixed","RMSE_log.CVsd_Fixed","RMdSE_lin_MixedInt","RelRMdSE_lin_MixedInt","RMSE_lin_MixedInt","RelRMSE_lin_MixedInt","RMSE_log_MixedInt","RMdSE_lin_MixedIntSlope","RelRMdSE_lin_MixedIntSlope","RMSE_lin_MixedIntSlope","RelRMSE_lin_MixedIntSlope","RMSE_log_MixedIntSlope","RMSE_log.CVmean_MixedInt","RMSE_log.CVmean_MixedIntSlope","RMSE_log.CVsd_MixedInt","RMSE_log.CVsd_MixedIntSlope","Sig_Fixed","Singular_MixedInt","Singular_MixedIntSlope","Sig_MixedInt","Sig_MixedIntSlope","ICC_MixedInt","ICC_MixedIntSlope"
"5cm",13,"logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,204,"Species",0.92983,0.93527,0.97083,100.04036,97.20325,97.56393,116.63096,117.11197,144.01761,10.2179483561883,19.7857239726292,54.1557095193865,55.1026542246157,0.30172,0.3036,0.04348,9.2615940443012,17.9338686122944,54.4655290979135,55.4178911822532,0.29269,10.1336093738874,19.6224125361481,50.6267100121389,51.511948067639,0.26569,0.3019,1.38605,0.03294,0.94494,0.30472,0,1,0.29446,0.2693,0.06205,NA
"5cm",13,"logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,204,"Site",0.92983,0.94889,0.97172,100.04036,72.73521,14.38888,116.63096,92.64393,60.84256,10.2179483561883,19.7857239726292,54.1557095193865,55.1026542246157,0.30172,0.3036,0.04348,8.19307183500726,15.8648147518969,48.4815433276562,49.3292718712003,0.26834,5.9844402118345,11.5880877485889,29.0433849432603,29.551225757055,0.20517,0.2767,1.83608,0.05807,0.29232,0.30472,0,1,0.27169,0.2123,0.23866,NA
"5cm",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,204,"Species&Site",0.91787,0.95921,0.96902,132.16269,42.43938,28.71669,148.75329,65.66622,105.03345,8.92625295716355,17.2845243451775,66.7296275153259,67.8964346353569,0.32644,0.32973,0.06386,6.75378756002382,13.0778285203877,33.8735949053771,34.4658948055611,0.24363,5.70415434032853,11.0453507241171,25.8199145531752,26.2713910750892,0.20992,0.25171,0.85634,0.04093,0.16986,0.32968,1,1,0.24702,0.21543,NA,NA
"5cm",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,204,"Species",0.91787,0.93982,0.94292,132.16269,96.50317,103.27754,148.75329,116.41189,149.73122,8.92625295716355,17.2845243451775,66.7296275153259,67.8964346353569,0.32644,0.32973,0.06386,6.7432542683665,13.0574321752517,59.0993444607561,60.1327315554187,0.28904,6.68715764667188,12.9488083856262,60.0474452274728,61.0974104264393,0.28186,0.2935,0.3492,0.04244,0.08551,0.32968,0,1,0.29108,0.2843,0.2269,NA
"5cm",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,204,"Site",0.91787,0.95921,0.96844,132.16269,40.43938,11.10731,148.75329,60.3481,57.56099,8.92625295716355,17.2845243451775,66.7296275153259,67.8964346353569,0.32644,0.32973,0.06386,6.75378754913715,13.0778284993071,33.8735949559735,34.4658948570422,0.24363,5.49339796422489,10.6372484967719,25.8346099642279,26.2863434441213,0.21178,0.2544,0.71618,0.05461,0.11606,0.32968,0,1,0.24702,0.21668,0.51768,NA
"5cm",15,"logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,204,"Species&Site",0.84451,0.85999,0.89065,262.37465,263.75511,276.9749,278.96525,286.98195,353.29166,16.7585973223158,32.4508374116971,68.3073442948052,69.5017387286014,0.44916,0.45235,0.07653,14.7469582632773,28.5555608094632,71.6323509703694,72.8848851182274,0.43277,13.0066241586467,25.1856308573784,66.9541638124623,68.1248970828401,0.39775,0.44581,1.30735,0.07703,0.2426,0.45363,1,1,0.43727,0.4062,NA,NA
"5cm",15,"logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,204,"Species",0.84451,0.84515,0.85544,262.37465,264.37465,276.17632,278.96525,284.28337,322.63,16.7585973223158,32.4508374116971,68.3073442948052,69.5017387286014,0.44916,0.45235,0.07653,16.6740866060603,32.2871934348172,68.3502047584117,69.5453486328381,0.44916,15.7960504278309,30.5869909230371,65.5542422306735,66.7004970417831,0.43774,0.45757,0.47371,0.06435,0.08055,0.45363,1,1,0.44916,0.44013,NA,NA
"5cm",15,"logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,204,"Site",0.84451,0.85999,0.88578,262.37465,261.75511,260.98305,278.96525,281.66383,307.43673,16.7585973223158,32.4508374116971,68.3073442948052,69.5017387286014,0.44916,0.45235,0.07653,14.7469622724875,28.5555685727756,71.6323458396855,72.8848798978305,0.43277,13.1127956275854,25.3912180559981,67.7529930223716,68.9376942953371,0.40362,0.44769,2.16112,0.08581,0.39475,0.45363,0,1,0.43727,0.41067,0.09343,NA
"5cm",16,"logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,204,"Species&Site",0.94455,0.96152,0.9692,54.0067,20.56644,41.1798,73.91542,47.1114,140.7234,7.98505935745686,15.4620257261349,45.5430036607214,46.3393500950953,0.26821,0.27319,0.04515,5.94089738326175,11.5037727415938,38.4316766924182,39.1036773564283,0.23236,5.5514856395507,10.7497277020042,36.0676479153085,36.6983121338476,0.20837,0.24197,0.64011,0.04507,0.14824,0.27156,1,1,0.2354,0.21433,NA,NA
"5cm",16,"logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,204,"Species",0.94455,0.95021,0.96447,54.0067,47.51117,65.5532,73.91542,70.73801,125.27936,7.98505935745686,15.4620257261349,45.5430036607214,46.3393500950953,0.26821,0.27319,0.04515,6.32278265737035,12.2432437546909,46.2303199196215,47.0386844864871,0.25708,6.0775657467635,11.768413197953,45.0275894284157,45.8149235392025,0.24367,0.25789,1.01791,0.06839,0.93017,0.27156,0,1,0.25874,0.24674,0.09169,NA
"5cm",16,"logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,204,"Site",0.94455,0.96152,0.97409,54.0067,18.56644,-8.65438,73.91542,41.79328,51.07178,7.98505935745686,15.4620257261349,45.5430036607214,46.3393500950953,0.26821,0.27319,0.04515,5.94089740071832,11.5037727753962,38.4316767229743,39.1036773875187,0.23236,5.06689052691139,9.81137248597297,27.9022358554816,28.3901230005654,0.19232,0.24315,1.53232,0.06259,0.59652,0.27156,0,1,0.2354,0.19865,0.33031,NA
