"VarGroup","MixedEffects","Model","ModelN","NumPredictors","(Intercept)_Fixed","(Intercept)_MixedInt","(Intercept)_MixedIntSlope","slope.var1_Fixed","slope.var1_MixedInt","slope.var1_MixedIntSlope","slope.var2_Fixed","slope.var2_MixedInt","slope.var2_MixedIntSlope","slope.var3_Fixed","slope.var3_MixedInt","slope.var3_MixedIntSlope","slope.var4_Fixed","slope.var4_MixedInt","slope.var4_MixedIntSlope","VIF.var1_Fixed","VIF.var1_MixedInt","VIF.var1_MixedIntSlope","VIF.var2_Fixed","VIF.var2_MixedInt","VIF.var2_MixedIntSlope","VIF.var3_Fixed","VIF.var3_MixedInt","VIF.var3_MixedIntSlope","VIF.var4_Fixed","VIF.var4_MixedInt","VIF.var4_MixedIntSlope","Rsq.var1_Fixed","Rsq.var1_MixedInt","Rsq.var1_MixedIntSlope","Rsq.var2_Fixed","Rsq.var2_MixedInt","Rsq.var2_MixedIntSlope","Rsq.var3_Fixed","Rsq.var3_MixedInt","Rsq.var3_MixedIntSlope","Rsq.var4_Fixed","Rsq.var4_MixedInt","Rsq.var4_MixedIntSlope","maxVIF_Fixed","maxVIF_MixedInt","maxVIF_MixedIntSlope"
12,"Species","DBH.cm, Height.m, CanopyDiameter.m",12,3,-1.52055,-1.48027,-1.34282,1.33717,1.48581,1.6365,0.68197,0.54903,0.36285,0.59758,0.51243,0.46399,NA,NA,NA,3.99321,4.17384,1.30811,1.55649,1.83282,1.05209,3.08071,2.93106,1.2724,NA,NA,NA,0.609029316821903,0.680767718040998,0.714166511380092,0.308969673986481,0.24317600208729,0.197232757600324,0.275657408816667,0.236804228418199,0.119366054988426,NA,NA,NA,3.99321,4.17384,1.30811
12,"Site","DBH.cm, Height.m, CanopyDiameter.m",12,3,-1.52055,-1.57088,-1.77958,1.33717,1.49516,1.63565,0.68197,0.515,0.5451,0.59758,0.59873,0.47428,NA,NA,NA,3.99321,4.0083,1.26743,1.55649,2.14649,1.06294,3.08071,2.62591,1.20346,NA,NA,NA,0.609029316821903,0.675551391471269,0.726148358118779,0.308969673986481,0.289992978885104,0.245267225681481,0.275657408816667,0.214209658792248,0.214281482361103,NA,NA,NA,3.99321,4.0083,1.26743
13,"Species&Site","DBH.cm, Height.m, WoodDensity.g.cm3",13,3,-0.82096,-0.91882,-0.82398,1.85522,1.97755,2.08217,0.52097,0.48699,0.39162,2.62796,3.06559,3.23473,NA,NA,NA,1.42423,1.96414,1.03785,1.42369,1.95967,1.03656,1.00047,1.00403,1.00385,NA,NA,NA,0.873486119855022,0.903149514801813,0.932495354829006,0.192983528953278,0.275736789275879,0.361594036068335,0.190519471250972,0.19896482199911,0.176703331004732,NA,NA,NA,1.42423,1.96414,1.03785
13,"Species","DBH.cm, Height.m, WoodDensity.g.cm3",13,3,-0.82096,-0.75036,-0.39623,1.85522,1.95262,2.05272,0.52097,0.39094,0.24443,2.62796,2.68701,3.35946,NA,NA,NA,1.42423,1.62518,1.01889,1.42369,1.62518,1.02037,1.00047,1.00001,1.00147,NA,NA,NA,0.873486119855022,0.888693813894663,0.895046762187146,0.192983528953278,0.204369178231096,0.279567184506205,0.190519471250972,0.123245263966557,0.0504328828141386,NA,NA,NA,1.42423,1.62518,1.02037
13,"Site","DBH.cm, Height.m, WoodDensity.g.cm3",13,3,-0.82096,-0.91882,-0.95309,1.85522,1.97755,2.0557,0.52097,0.48699,0.43571,2.62796,3.06559,2.98753,NA,NA,NA,1.42423,1.96414,1.03989,1.42369,1.95967,1.03724,1.00047,1.00403,1.00359,NA,NA,NA,0.873486119855022,0.897384144383103,0.916256975029003,0.192983528953278,0.263096458551451,0.28191364994165,0.190519471250972,0.188925831538808,0.177549628160999,NA,NA,NA,1.42423,1.96414,1.03989
14,"Species&Site","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",14,3,-0.19631,-0.40233,-0.40009,1.77388,1.81168,1.9032,0.34549,0.4651,0.35741,1.68003,1.94905,2.15395,NA,NA,NA,3.05058,2.76246,1.16311,3.23583,2.86642,1.20546,1.12023,1.10933,1.04667,NA,NA,NA,0.726665022590188,0.810178689983164,0.854227773994885,0.0823365704527087,0.20017462488665,0.184956175076239,0.0672475026377354,0.129943240646268,0.155310449408269,NA,NA,NA,3.23583,2.86642,1.20546
14,"Species","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",14,3,-0.19631,-0.33655,-0.45996,1.77388,1.80849,1.8538,0.34549,0.40615,0.37285,1.68003,1.71897,1.52002,NA,NA,NA,3.05058,2.81571,1.44244,3.23583,2.82339,1.51198,1.12023,1.00538,1.09137,NA,NA,NA,0.726665022590188,0.764170131222076,0.781045924174694,0.0823365704527087,0.126945905229891,0.1137757240456,0.0672475026377354,0.081311166071243,0.0676050961275506,NA,NA,NA,3.23583,2.82339,1.51198
14,"Site","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",14,3,-0.19631,-0.40233,-0.44948,1.77388,1.81168,1.9142,0.34549,0.4651,0.34032,1.68003,1.94905,2.01682,NA,NA,NA,3.05058,2.76246,1.21352,3.23583,2.86642,1.3024,1.12023,1.10933,1.08729,NA,NA,NA,0.726665022590188,0.796860377138644,0.836906944677041,0.0823365704527087,0.187005084494664,0.146919783071198,0.0672475026377354,0.120696982533358,0.126111280747589,NA,NA,NA,3.23583,2.86642,1.3024
15,"Species&Site","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",15,3,-0.74369,-1.18384,-1.49416,1.34956,1.62356,1.85099,1.55106,1.45123,1.41007,0.24948,0.41189,1.12446,NA,NA,NA,1.14378,1.34492,1.05059,1.22131,1.40322,1.0542,1.07757,1.0623,1.00649,NA,NA,NA,0.716771621676191,0.691102195571752,0.696627006051973,0.482509090205051,0.576767713278049,0.658196229201323,0.000872247804921696,0.00239732739091077,0.0190983184348216,NA,NA,NA,1.22131,1.40322,1.0542
15,"Species","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",15,3,-0.74369,-0.74369,-0.84796,1.34956,1.34956,1.35886,1.55106,1.55106,1.58496,0.24948,0.24948,0.19166,NA,NA,NA,1.14378,1.14378,1.04974,1.22131,1.22131,1.06469,1.07757,1.07757,1.03042,NA,NA,NA,0.716771621676191,0.717768152606949,0.729165705813374,0.482509090205051,0.483736193552593,0.490598506081527,0.000872247804921696,0.000876540825832148,0.000524630656347217,NA,NA,NA,1.22131,1.22131,1.06469
15,"Site","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",15,3,-0.74369,-1.18384,-1.65258,1.34956,1.62356,1.8771,1.55106,1.45123,1.37157,0.24948,0.41189,0.66432,NA,NA,NA,1.14378,1.34492,1.08848,1.22131,1.40322,1.11586,1.07757,1.0623,1.02977,NA,NA,NA,0.716771621676191,0.68916408616715,0.682907775485931,0.482509090205051,0.574553722603964,0.662515834770254,0.000872247804921696,0.0023757480514226,0.00669140016317944,NA,NA,NA,1.22131,1.40322,1.11586
16,"Species&Site","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",16,4,-0.99366,-0.96456,-1.23367,1.40106,1.59213,1.59387,0.67557,0.49652,0.58584,0.50193,0.48683,0.47403,1.60498,1.93119,1.7922,4.15314,4.2076,1.81462,1.55718,2.18009,1.14518,3.41904,2.90005,1.71511,1.12073,1.10914,1.06388,0.643426688041692,0.733249869351128,0.752057139129224,0.324918276605181,0.234709419432156,0.319774987455334,0.209792020965754,0.227571723237319,0.235215798211423,0.0887749209897649,0.142653718706391,0.136278596724768,4.15314,4.2076,1.81462
16,"Species","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",16,4,-0.99366,-0.92773,-0.73645,1.40106,1.48186,1.6565,0.67557,0.56044,0.34565,0.50193,0.50553,0.44643,1.60498,1.63719,1.73336,4.15314,4.17524,1.30673,1.55718,1.8063,1.0498,3.41904,2.9818,1.32788,1.12073,1.01454,1.05168,0.643426688041692,0.675669127493866,0.711501945274873,0.324918276605181,0.254755852692353,0.170360013374426,0.209792020965754,0.217489695784808,0.109677359945746,0.0887749209897649,0.0947124260121755,0.0999923742109229,4.15314,4.17524,1.32788
16,"Site","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",16,4,-0.99366,-0.96456,-1.07962,1.40106,1.59213,1.78979,0.67557,0.49652,0.45378,0.50193,0.48683,0.3388,1.60498,1.93119,2.0669,4.15314,4.2076,1.23057,1.55718,2.18009,1.06542,3.41904,2.90005,1.24726,1.12073,1.10914,1.08728,0.643426688041692,0.72395883497492,0.792054156526646,0.324918276605181,0.226374537598341,0.219287527223372,0.209792020965754,0.219417637957046,0.172864321663409,0.0887749209897649,0.137002647510512,0.135297131394723,4.15314,4.2076,1.24726
