"ModelN","VarGroup","Effects","MixedEffects","Model","NumPredictors","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
10,10,"MixedInt","Species","Height.m, WoodDensity.g.cm3",2,"10.MixedInt_Species",0.0351,2.18016,2.73474,NA,NA,1.00001,1.00001,NA,NA,0.443420027209897,0.0329510307177706,NA,NA,1.00001
10,10,"Fixed",NA,"Height.m, WoodDensity.g.cm3",2,"10.Fixed",0.39058,2.04808,2.93366,NA,NA,1.00001,1.00001,NA,NA,0.39963714060946,0.0357949661994532,NA,NA,1.00001
2,2,"Fixed",NA,"Height.m",1,"2.Fixed",-0.63156,2.04946,NA,NA,NA,NA,NA,NA,NA,0.391247080181383,NA,NA,NA,-Inf
1,1,"MixedIntSlope","Species&Site","DBH.cm",1,"1.MixedIntSlope_Species&Site",-1.48399,2.25182,NA,NA,NA,NA,NA,NA,NA,0.949276947412322,NA,NA,NA,-Inf
2,2,"MixedIntSlope","Species&Site","Height.m",1,"2.MixedIntSlope_Species&Site",-3.53204,3.26613,NA,NA,NA,NA,NA,NA,NA,0.700896969120204,NA,NA,NA,-Inf
2,2,"MixedIntSlope","Species","Height.m",1,"2.MixedIntSlope_Species",-1.18648,2.29745,NA,NA,NA,NA,NA,NA,NA,0.47429868933051,NA,NA,NA,-Inf
3,3,"MixedInt","Species&Site","CanopyDiameter.m",1,"3.MixedInt_Species&Site",1.61675,1.92673,NA,NA,NA,NA,NA,NA,NA,0.732329533649225,NA,NA,NA,-Inf
3,3,"MixedIntSlope","Species&Site","CanopyDiameter.m",1,"3.MixedIntSlope_Species&Site",1.36527,2.083,NA,NA,NA,NA,NA,NA,NA,0.769850624159422,NA,NA,NA,-Inf
3,3,"MixedInt","Species","CanopyDiameter.m",1,"3.MixedInt_Species",1.74844,1.91901,NA,NA,NA,NA,NA,NA,NA,0.711312066553728,NA,NA,NA,-Inf
3,3,"MixedIntSlope","Species","CanopyDiameter.m",1,"3.MixedIntSlope_Species",1.67407,1.96581,NA,NA,NA,NA,NA,NA,NA,0.722028942606923,NA,NA,NA,-Inf
4,4,"MixedIntSlope","Species&Site","Comp.DBH.H.Den",1,"4.MixedIntSlope_Species&Site",-2.2243,0.9121,NA,NA,NA,NA,NA,NA,NA,0.947756063554705,NA,NA,NA,-Inf
4,4,"MixedInt","Species","Comp.DBH.H.Den",1,"4.MixedInt_Species",-1.81248,0.853,NA,NA,NA,NA,NA,NA,NA,0.914979905299401,NA,NA,NA,-Inf
5,5,"MixedInt","Species&Site","Comp.Can.H.Den",1,"5.MixedInt_Species&Site",0.32531,0.86886,NA,NA,NA,NA,NA,NA,NA,0.824680952863056,NA,NA,NA,-Inf
5,5,"MixedIntSlope","Species&Site","Comp.Can.H.Den",1,"5.MixedIntSlope_Species&Site",0.08433,0.91391,NA,NA,NA,NA,NA,NA,NA,0.845800496655613,NA,NA,NA,-Inf
5,5,"MixedInt","Species","Comp.Can.H.Den",1,"5.MixedInt_Species",0.32531,0.86886,NA,NA,NA,NA,NA,NA,NA,0.824681210848884,NA,NA,NA,-Inf
5,5,"MixedIntSlope","Species","Comp.Can.H.Den",1,"5.MixedIntSlope_Species",0.17735,0.89685,NA,NA,NA,NA,NA,NA,NA,0.83734234184493,NA,NA,NA,-Inf
5,5,"MixedInt","Site","Comp.Can.H.Den",1,"5.MixedInt_Site",0.34268,0.86504,NA,NA,NA,NA,NA,NA,NA,0.823375585373333,NA,NA,NA,-Inf
5,5,"MixedIntSlope","Site","Comp.Can.H.Den",1,"5.MixedIntSlope_Site",0.19006,0.89245,NA,NA,NA,NA,NA,NA,NA,0.836545841475673,NA,NA,NA,-Inf
6,6,"MixedIntSlope","Species&Site","DBH.cm, Height.m",2,"6.MixedIntSlope_Species&Site",-2.1508,1.97662,0.56539,NA,NA,1.10121,1.10121,NA,NA,0.902534728699913,0.249608941071482,NA,NA,1.10121
6,6,"MixedIntSlope","Species","DBH.cm, Height.m",2,"6.MixedIntSlope_Species",-1.56832,2.05021,0.25674,NA,NA,1.01888,1.01888,NA,NA,0.894100543846909,0.0549355666363637,NA,NA,1.01888
6,6,"MixedIntSlope","Site","DBH.cm, Height.m",2,"6.MixedIntSlope_Site",-2.04925,1.97724,0.53736,NA,NA,1.08364,1.08364,NA,NA,0.87509049811343,0.185125137069495,NA,NA,1.08364
7,7,"MixedIntSlope","Species&Site","DBH.cm, CanopyDiameter.m",2,"7.MixedIntSlope_Species&Site",-1.00605,1.84153,0.37501,NA,NA,1.22593,1.22593,NA,NA,0.826958927004007,0.157561186473787,NA,NA,1.22593
7,7,"MixedIntSlope","Species","DBH.cm, CanopyDiameter.m",2,"7.MixedIntSlope_Species",-0.94414,1.80777,0.43155,NA,NA,1.38885,1.38885,NA,NA,0.777302028699038,0.158045796257485,NA,NA,1.38885
7,7,"MixedIntSlope","Site","DBH.cm, CanopyDiameter.m",2,"7.MixedIntSlope_Site",-1.02523,1.79208,0.4827,NA,NA,1.27237,1.27237,NA,NA,0.791481282867234,0.206280711862582,NA,NA,1.27237
8,8,"MixedIntSlope","Species&Site","DBH.cm, WoodDensity.g.cm3",2,"8.MixedIntSlope_Species&Site",-0.51463,2.22779,2.63548,NA,NA,1.00024,1.00024,NA,NA,0.944954672716713,0.20956828596575,NA,NA,1.00024
8,8,"MixedIntSlope","Species","DBH.cm, WoodDensity.g.cm3",2,"8.MixedIntSlope_Species",-0.22538,2.18687,3.2181,NA,NA,1.00131,1.00131,NA,NA,0.928653146042273,0.237252336868867,NA,NA,1.00131
