"","Model","RMSE_log","RMSE_log_scaled","RMSE_lin_bias","RMSE_lin_bask","RMSE_lin_bias_scaled","RMSE_lin_bask_scaled","meanAGB","RRMSE_lin_bask_scaled"
"27","4.MixedInt_Site",0.418492316684332,0.418492316684506,47.4559329892382,45.2742189644376,47.4559329891019,45.2742189642659,58.6218436734815,77.2309707904094
"28","4.MixedIntSlope_Site",0.344286148694741,0.34428617770159,37.3087504504568,34.6921373076823,37.3087026602406,34.6920920441543,58.6218436734815,59.179462586312
"29","5.Fixed",0.69441196844629,0.69441196844629,53.2750510068429,45.5033721270109,53.2750510068429,45.5033721270109,37.6207445358899,120.952875038401
"30","5.MixedInt_Species&Site",0.667725630484981,0.667725630466721,50.8314184252471,44.6516746834943,50.8314184362336,44.6516746973242,37.6207445358899,118.68897133263
"31","5.MixedIntSlope_Species&Site",0.589200011856157,0.589199724759232,41.1871299703503,43.0101597737515,41.1863801985179,43.0095607171956,37.6207445358899,114.32405511317
"32","5.MixedInt_Species",0.688239493618152,0.688239493621435,54.2144275455467,46.6099065122569,54.2144275443935,46.6099065109356,37.6207445358899,123.894162877266
"33","5.MixedIntSlope_Species",0.686962211834641,0.68696287705546,53.7399656169801,46.0745755443895,53.739695610181,46.0742991313158,37.6207445358899,122.470460645353
"34","5.MixedInt_Site",0.676570685808768,0.676570685808942,49.4000202414843,42.8121930405596,49.4000202415394,42.8121930405739,37.6207445358899,113.799430523581
"35","5.MixedIntSlope_Site",0.59797995356935,0.597980026094217,40.3483199048351,42.0596337728543,40.3483254977064,42.0596939250269,37.6207445358899,111.799206644893
"36","6.Fixed",0.456734965249866,0.456734965249866,43.4451436579601,41.131571346417,43.4451436579599,41.1315713464169,58.6218436734815,70.1642404416964
"37","6.MixedInt_Species&Site",0.396497220299474,0.396497220299086,44.7359866597791,43.0375002410355,44.7359866598156,43.0375002411245,58.6218436734815,73.4154669048616
"38","6.MixedIntSlope_Species&Site",0.378263275894012,0.462634702650409,41.6736304195945,40.6656751999633,49.7584220026341,48.6804533028576,58.6218436734815,83.0414914515542
"39","6.MixedInt_Species",0.420291705013828,0.420291704992314,42.1457638753246,40.3941740256962,42.1457638760092,40.3941740331578,58.6218436734815,68.9063521409354
